"filename", "language", "C++", "XML", "comment", "blank", "total"
"d:\Projects\GeoHash\GeoHash\GeoHash.vcxproj", "XML", 0, 146, 0, 0, 146
"d:\Projects\GeoHash\GeoHash\GeoHashDemo.cpp", "C++", 16, 0, 12, 6, 34
"d:\Projects\GeoHash\GeoHash\GeoHashGrid.cpp", "C++", 124, 0, 18, 17, 159
"d:\Projects\GeoHash\GeoHash\GeoHashGrid.h", "C++", 29, 0, 1, 3, 33
"d:\Projects\GeoHash\GeoHash\GeoHashLine.cpp", "C++", 156, 0, 25, 28, 209
"d:\Projects\GeoHash\GeoHash\GeoHashLine.h", "C++", 25, 0, 1, 3, 29
"d:\Projects\GeoHash\GeoHash\GeoHashPoint.cpp", "C++", 105, 0, 25, 25, 155
"d:\Projects\GeoHash\GeoHash\GeoHashPoint.h", "C++", 29, 0, 1, 4, 34
"d:\Projects\GeoHash\GeoHash\Trie.cpp", "C++", 27, 0, 0, 3, 30
"d:\Projects\GeoHash\GeoHash\Trie.h", "C++", 19, 0, 1, 4, 24
"Total", "-", 530, 146, 84, 93, 853